wavelength (nm),A_ki (s^-1),lower level,higher level
128.821,2.58E+07,3D5/2,10F7/2
128.821,1.72E+06,3D5/2,10F5/2
130.5668,2.34E+06,3D5/2,9F5.2
130.5668,3.52E+07,3D5/2,9F7/2
133.0912,4.91E+07,3D5/2,8F7/2
133.0912,3.28E+06,3D5/2,8F5/2
136.9559,7.10E+07,3D5/2,7F7/2
136.9559,4.73E+06,3D5/2,7F5/2
143.3749,7.20E+06,3D5/2,6F5/2
143.3749,1.07E+08,3D5/2,6F7/2
164.4443,1.30E+06,3D5/2,6P3/2
184.0061,1.73E+07,3D5/2,4F5/2
184.0061,2.60E+08,3D5/2,4F7/2
213.1505,1.80E+06,3D5/2,5P3/2
393.3663,1.47E+08,4S1/2,4P3/2
396.8469,1.40E+08,4S1/2,4P1/2
729.147,1.30E+00,4S1/2,3D5/2
732.389,1.30E+00,4S1/2,3D3/2
854.209,9.90E+06,3D5/2,4P3/2
